innings,player_dismissed,date,season,batting_team,striker,wicket_type,bowling_team,runs_of_bat,over,match_no,match_id,noballs,extras,legbyes,bowler,byes,fielder,venue,wide
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,6,18.5,37,202437,0,0,0,Sai Kishore,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,Harpreet Brar,"Apr 21, 2024",2024,PBKS,Harpreet Brar,caught,GT,0,18.6,37,202437,0,0,0,Sai Kishore,0,Shahrukh Khan,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Singh,,GT,1,19.1,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,Harshal Patel,"Apr 21, 2024",2024,PBKS,Harshal Patel,caught,GT,0,19.2,37,202437,0,0,0,Mohit Sharma,0,Shahrukh Khan,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Kagiso Rabada,,GT,1,19.3,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Singh,,GT,0,19.4,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Singh,,GT,0,19.5,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,Harpreet Singh,"Apr 21, 2024",2024,PBKS,Harpreet Singh,runout,GT,1,19.6,37,202437,0,0,0,Mohit Sharma,0,Sai Sudharsan/Saha,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,1,0.1,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,0.2,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
